policy_id,policy_country_iso_code,policy_title,policy_name,policy_jurisdiction,policy_supranational_region,policy_country,policy_subnational_region_or_state,policy_city,policy_type_of_policy_instrument,policy_sector_name,policy_description,policy_type,policy_stringency,policy_implementation_state,policy_date_of_decision,policy_start_date_of_implementation,policy_end_date_of_implementation,policy_high_impact,policy_objective,policy_source_or_references,impact_indicator_comments,impact_indicator_name_of_impact_indicator,impact_indicator_value,impact_indicator_base_year,impact_indicator_target_year
211003186,IDN,ISPO palm oil certification Indonesia (2011),ISPO palm oil certification,Country,,Indonesia,,,"Product standards, Other mandatory requirements",Agriculture and forestry,"Oil palm plantations in Indonesia are required to comply with the Indonesian Sustainable Palm Oil (ISPO) certification scheme. The ISPO program covers greenhouse gas emissions (including methane capture), land use, biodiversity, and labor. The Ministerial Regulation No. 11/2015 from the Ministry of Agriculture specifically exempts palm oil plantations supplying palm oil for biofuel production from ISPO compliance.",Renewables,,In force,2011.0,,,Unknown,,http://www.efeca.com/wp-content/uploads/2016/03/Efeca_PO-Standards-Comparison-.pdf,,,,,
211003191,CAN,Amendment 14 - Energy Efficiency Regulations - Air Conditioners Canada (2019),Amendment 14 - Energy Efficiency Regulations - Air Conditioners,Country,,Canada,,,Product standards,"Buildings, Appliances",,Energy efficiency,,In force,2019.0,,,Unknown,,https://www.iea.org/policies/6167-amendment-14-energy-efficiency-regulations-air-conditioners?country=Canada&jurisdiction=National&status=In%20Force,,,,,
211003192,CAN,"Amendments to MEPS for furnaces, fireplaces, unit heaters and recovery ventilators Canada (2019)","Amendments to MEPS for furnaces, fireplaces, unit heaters and recovery ventilators",Country,,Canada,,,Product standards,"Buildings, Appliances","""The amendments have introduced or updated energy efficiency standards, testing protocols, and reporting requirements for 12 product categories of furnaces, fireplaces, heaters and ventilation systems."" (IEA) IEA/IRENA Global Renewable Energy Policies and Measures Database © OECD/IEA and IRENA, [November 2020]",Energy efficiency,,In force,2019.0,,,Unknown,,https://www.nrcan.gc.ca/energy-efficiency/energy-efficiency-regulations/forward-regulatory-plan-2019-2021/18318,,,,,
211003197,USA,Affordable Clean Energy (ACE) United States of America (2019),Affordable Clean Energy (ACE),Country,,United States of America,,,"Codes and standards, Vehicle fuel-economy and emissions standards","Electricity and heat, Coal",The ACE rule repealed the Obama-era Clean Power Plan (CPP) and establishes emission guidelines for states limit CO2 of coal-fired power plants. The new rule is weaker than the former CPP and encourage heat rate improvements in coal-fired plants.,Energy efficiency,,In force,2019.0,,,Unknown,,https://www.epa.gov/stationary-sources-air-pollution/affordable-clean-energy-rule,,,,,
211003198,USA,Alternative Fuel Vehicle Tax Credits United States of America (2010),Alternative Fuel Vehicle Tax Credits,Country,,United States of America,,,Tax relief,"Transport, Low-emissions mobility","Federal tax credits are provided to encourage the purchase of electric, hybrid, and/or alternative-fuel vehicles (Alternative Fuel Vehicle Tax Credits)
Supported by distinct regulations such as:
- American Recovery and Reinvestment Act of 2009 (ARRA2009)
- Energy Policy Act (Public Law 109-58, 2005)
- Energy Independence and Security Act (Public Law 110-140, 2007)
- Energy Improvement and Extension Act (Public Law 111-5, 2008)",Other low-carbon technologies and fuel switch,,In force,2010.0,2010.0,,Unknown,,https://www.fueleconomy.gov/feg/taxevb.shtml,,,,,
211003199,USA,American Recovery and Reinvestment Act United States of America (2009),American Recovery and Reinvestment Act,Country,,United States of America,,,"Infrastructure investments, Building codes and standards","Electricity and heat, Buildings, Construction",Funding for smart grid projects in the American Recovery and Reinvestment Act of 2009 (ARRA2009),"Renewables, Energy efficiency",,In force,2009.0,,,High,,https://www.congress.gov/bill/111th-congress/house-bill/1/text,,,,,
211003200,USA,Bipartisan Budget Act United States of America (2018),Bipartisan Budget Act,Country,,United States of America,,,Tax relief,"Electricity and heat, CCS, Industry, Negative emissions",The Bipartisan Budget Act of 2018 provides tax credits for carbon capture and sequestration.,Other low-carbon technologies and fuel switch,,In force,2018.0,,,Unknown,,https://www.congress.gov/bill/115th-congress/house-bill/1892/text,,,,,
211003201,USA,"Requirements for Process emissions, emissions related to hazardus and toxic substances United States of America (1990)","Requirements for Process emissions, emissions related to hazardus and toxic substances",Country,,United States of America,,,"Codes and standards, Sectoral standards","Industry, Industrial N2O",Clean Air Act Amendments of 1990,Non-energy use,,In force,1990.0,,,Unknown,,https://www.epa.gov/laws-regulations/summary-clean-air-act,,,,,
211003209,CHN,National Leading Committee on Climate Change China (2007),National Leading Committee on Climate Change,Country,,China,,,Coordinating body for climate strategy,General,"The role of the NLCCC, which coordinates twenty-seven different government agencies, is much like that of its predecessors: to make major decisions and to coordinate national actions on climate change. Yet it has considerably strengthened capacity and decision-making in comparison to previous bodies.","Other low-carbon technologies and fuel switch, Energy efficiency, Energy service demand reduction and resource efficiency, Non-energy use",,In force,2007.0,,,Unknown,,https://unfccc.int/resource/docs/natc/chnnc2e.pdf,,,,,
211005201,COL,Non-conventional renewable energy auction Colombia (2019),Non-conventional renewable energy auction,Country,,Colombia,,,"Fiscal or financial incentives, Tendering schemes","Electricity and heat, Renewables","In October 2019, the Ministry of Energy carried out the first tender in the country for non-conventional renewable energy (excluding hydropower). Eight projects, totalling 1.3 GW of wind and solar, were awarded with 15- year power purchase agreements.",Renewables,,In force,2019.0,2019.0,,Unknown,,https://www.minenergia.gov.co/en/historico-de-noticias?idNoticia=24146550,,,,,
211005310,ZAF,Biofuels Regulatory Framework (BRF) to implement Biofuels Industrial Strategy South Africa (2020),Biofuels Regulatory Framework (BRF) to implement Biofuels Industrial Strategy,Country,,South Africa,,,Sectoral standards,Transport,"The Biofuels Industrial Strategy, which falls under the Petroleum Products Act, mandates biofuel blending of 2%–10% for bioethanol and a minimum of 5% for biodiesel from 2015 onwards.

Biofuels Regulatory Framework (BRF) of February 2020 implements the Biofuels Industrial Strategy. Uncertainty remains on the socio-economic benefits to be achieved through the BRF, the carbon-intensity of South African biofuels, and the actual uptake of 1st and 2nd generation biofuels over time.",Renewables,,In force,2020.0,2020.0,,Unknown,,https://newclimate.org/wp-content/uploads/2020/10/NewClimate_PBL-CLIMA_2020OctUpdate.pdf,,,,,
